VALUE_DATE;IDENTIFIER;PX_LAST
2023-06-30;SKSW1 ICPL Curncy;0.04238
2023-06-30;SKSW2 ICPL Curncy;0.04040
2023-06-30;SKSW3 ICPL Curncy;0.03760
2023-06-30;SKSW4 ICPL Curncy;0.03543
2023-06-30;SKSW5 ICPL Curncy;0.03385
2023-06-30;SKSW6 ICPL Curncy;0.03278
2023-06-30;SKSW7 ICPL Curncy;0.03200
2023-06-30;SKSW8 ICPL Curncy;0.03143
2023-06-30;SKSW9 ICPL Curncy;0.03103
2023-06-30;SKSW10 ICPL Curncy;0.03075
2023-06-30;SKSW12 ICPL Curncy;0.03048
2023-06-30;SKSW15 ICPL Curncy;0.03005
2023-06-30;SKSW20 ICPL Curncy;0.02883
2023-05-31;SKSW1 ICPL Curncy;0.03955
2023-05-31;SKSW2 ICPL Curncy;0.03625
2023-05-31;SKSW3 ICPL Curncy;0.03370
2023-05-31;SKSW4 ICPL Curncy;0.03200
2023-05-31;SKSW5 ICPL Curncy;0.03088
2023-05-31;SKSW6 ICPL Curncy;0.03015
2023-05-31;SKSW7 ICPL Curncy;0.02973
2023-05-31;SKSW8 ICPL Curncy;0.02943
2023-05-31;SKSW9 ICPL Curncy;0.02925
2023-05-31;SKSW10 ICPL Curncy;0.02918
2023-05-31;SKSW12 ICPL Curncy;0.02918
2023-05-31;SKSW15 ICPL Curncy;0.02898
2023-05-31;SKSW20 ICPL Curncy;0.02798
2023-07-31;SKSW1 ICPL Curncy;0.04165
2023-07-31;SKSW2 ICPL Curncy;0.03860
2023-07-31;SKSW3 ICPL Curncy;0.03600
2023-07-31;SKSW4 ICPL Curncy;0.03415
2023-07-31;SKSW5 ICPL Curncy;0.03290
2023-07-31;SKSW6 ICPL Curncy;0.03210
2023-07-31;SKSW7 ICPL Curncy;0.03155
2023-07-31;SKSW8 ICPL Curncy;0.03115
2023-07-31;SKSW9 ICPL Curncy;0.03090
2023-07-31;SKSW10 ICPL Curncy;0.03075
2023-07-31;SKSW12 ICPL Curncy;0.03053
2023-07-31;SKSW15 ICPL Curncy;0.03015
2023-07-31;SKSW20 ICPL Curncy;0.02895
